material_id,name,category,condition,density_kg_m3_min,density_kg_m3_max,density_kg_m3_typ,youngs_modulus_gpa_min,youngs_modulus_gpa_max,youngs_modulus_gpa_typ,shear_modulus_gpa_typ,poissons_ratio_typ,yield_strength_mpa_min,yield_strength_mpa_max,yield_strength_mpa_typ,tensile_strength_mpa_min,tensile_strength_mpa_max,tensile_strength_mpa_typ,elongation_pct_typ,fracture_toughness_mpam12_typ,hardness_hb_typ,thermal_conductivity_w_mk_typ,cost_usd_per_kg_typ,machinability_rating_pct,corrosion_resistance_score,max_service_temp_c,source_reference
CAST_IRON_GRAY,Class 30 Gray Cast Iron,Cast Iron,As Cast,7050,7250,7150,95,115,105,41,0.26,140,180,160,200,250,220,0.5,12,200,46.0,1.80,80,2,350,ASM Handbook Vol 15
CAST_IRON_DUCTILE,65-45-12 Ductile (Nodular) Iron,Cast Iron,Annealed,7050,7200,7100,165,175,169,66,0.28,310,360,330,450,520,480,15,35,170,36.0,2.20,75,2,400,Ductile Iron Society
MAGNESIUM_AZ91D,AZ91D Die Cast Magnesium,Magnesium Alloy,Die Cast,1800,1820,1810,43,47,45,17,0.35,140,170,155,230,260,240,3,15,65,72.0,5.50,100,2,120,Magnesium Elektron Data
POLYMER_PA66,Polyamide 66 (Nylon 6/6),Thermoplastic Polymer,Dry As Molded,1130,1150,1140,2.8,3.2,3.0,1.1,0.40,65,85,75,70,90,80,40,3.5,80,0.25,4.50,90,3,90,DuPont Zytel Datasheet
POLYMER_PA66_GF30,Nylon 6/6 30% Glass Fiber Reinforced,Polymer Composite,Dry As Molded,1350,1390,1370,8.0,9.5,8.8,3.2,0.38,150,190,175,170,210,195,4,6.0,95,0.30,6.00,70,3,120,BASF Ultramid Data
POLYMER_POM,Polyoxymethylene (Acetal / Delrin),Thermoplastic Polymer,Extruded / Molded,1400,1430,1420,2.8,3.3,3.1,1.1,0.35,60,75,68,65,80,72,30,4.0,85,0.31,5.20,95,3,90,DuPont Delrin Datasheet
POLYMER_PEEK,Polyetheretherketone (PEEK),High-Perf Polymer,Unfilled Molded,1290,1310,1300,3.8,4.2,4.0,1.4,0.38,95,110,100,100,120,105,35,5.5,100,0.25,65.00,60,5,250,Victrex PEEK Datasheet
POLYMER_PTFE,Polytetrafluoroethylene (Teflon),Fluoropolymer,Molded,2150,2200,2180,0.4,0.6,0.5,0.18,0.46,12,18,15,20,35,27,250,2.0,40,0.25,18.00,80,5,260,Chemours Teflon Data
COMPOSITE_CFRP_UD,Carbon Fiber Epoxy Composite (UD),Polymer Composite,Unidirectional Fiber (0 deg),1550,1600,1580,130,150,140,5,0.30,1200,1600,1400,1400,1800,1600,1.5,40,90,5.0,55.00,20,5,130,Hexcel Composites Data
COMPOSITE_GFRP_WOVEN,E-Glass Epoxy Composite (Woven),Polymer Composite,Quasi-Isotropic Laminate,1850,2000,1900,20,28,24,4,0.22,250,350,300,300,420,360,2.0,25,85,0.4,14.00,40,4,120,ASM Composites Handbook
CERAMIC_AL2O3,Alumina Ceramic (99.5% Al2O3),Technical Ceramic,Sintered,3850,3950,3900,360,390,375,150,0.23,2000,3000,2500,250,350,300,0,4.0,1800,30.0,15.00,5,5,1500,CoorsTek Technical Ceramics
CERAMIC_SIC,Silicon Carbide (SiC),Technical Ceramic,Sintered Alpha-SiC,3100,3200,3150,400,430,410,175,0.16,3000,4000,3500,350,450,400,0,3.5,2500,120.0,38.00,2,5,1600,Saint-Gobain Ceramics
